"Label (Grouping)","United States Virgin Islands!!Number","United States Virgin Islands!!Percent"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over in households enrolled in school","16,965","100.0%"
"        Nursery school, preschool or pre-kindergarten","1,246","7.3%"
"        Kindergarten","960","5.7%"
"        Elementary school (grades 1-8)","7,847","46.3%"
"        High school (grades 9-12)","3,871","22.8%"
"        College, graduate or professional school","3,041","17.9%"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over in households","62,221","100.0%"
"        Less than 9th grade","6,795","10.9%"
"        9th to 12th grade, no diploma","6,723","10.8%"
"        High school graduate (includes equivalency)","24,140","38.8%"
"        Some college, no degree","7,754","12.5%"
"        Associate's degree","2,964","4.8%"
"        Bachelor's degree","8,506","13.7%"
"        Graduate or professional degree","5,339","8.6%"
"        High school graduate or higher","48,703","78.3%"
"        Bachelor's degree or higher","13,845","22.3%"
"VOCATIONAL TRAINING","",""
"    Population 16 years and over in households","69,821","100.0%"
"        Completed requirements for vocational training program","13,299","19.0%"
"        Did not complete requirements for vocational training program","56,522","81.0%"
"MARITAL STATUS","",""
"    Males 15 years and over in households","33,182","100.0%"
"        Never married","14,160","42.7%"
"        Now married, except separated","13,506","40.7%"
"        Separated","604","1.8%"
"        Widowed","1,129","3.4%"
"        Divorced","3,783","11.4%"
"    Females 15 years and over in households","37,568","100.0%"
"        Never married","15,719","41.8%"
"        Now married, except separated","12,684","33.8%"
"        Separated","675","1.8%"
"        Widowed","3,547","9.4%"
"        Divorced","4,943","13.2%"
"FERTILITY","",""
"    Women 15 to 24 years in households","4,268","(X)"
"        Children ever born","1,018","(X)"
"            Per 1,000 women","239","(X)"
"        Women ever married","161","(X)"
"            Children ever born","151","(X)"
"                Per 1,000 women","938","(X)"
"    Women 25 to 34 years in households","4,806","(X)"
"        Children ever born","6,079","(X)"
"            Per 1,000 women","1,265","(X)"
"        Women ever married","1,337","(X)"
"            Children ever born","2,103","(X)"
"                Per 1,000 women","1,573","(X)"
"    Women 35 to 44 years in households","5,189","100.0%"
"        Children ever born","9,771","(X)"
"            Per 1,000 women","1,883","(X)"
"        No children","1,186","22.9%"
"        1 child","1,062","20.5%"
"        2 children","1,299","25.0%"
"        3 children","931","17.9%"
"        4 children","413","8.0%"
"        5 or more children","298","5.7%"
"        Women ever married","2,674","(X)"
"            Children ever born","5,428","(X)"
"                Per 1,000 women","2,030","(X)"
"MARITAL EVENTS","",""
"    Males 15 years and over in households","33,182","(X)"
"        Married last year","484","(X)"
"            Per 1,000 men","14.6","(X)"
"        Widowed last year","110","(X)"
"            Per 1,000 men","3.3","(X)"
"        Divorced last year","216","(X)"
"            Per 1,000 men","6.5","(X)"
"    Females 15 years and over in households","37,568","(X)"
"        Married last year","453","(X)"
"            Per 1,000 women","12.1","(X)"
"        Widowed last year","326","(X)"
"            Per 1,000 women","8.7","(X)"
"        Divorced last year","258","(X)"
"            Per 1,000 women","6.9","(X)"
"TIMES MARRIED","",""
"    Males 15 years and over in households","33,182","(X)"
"        Never married","14,160","(X)"
"        Ever married","19,022","100.0%"
"            Once","14,601","76.8%"
"            Two times","3,572","18.8%"
"            Three or more times","849","4.5%"
"    Females 15 years and over in households","37,568","(X)"
"        Never married","15,719","(X)"
"        Ever married","21,849","100.0%"
"            Once","18,048","82.6%"
"            Two times","3,292","15.1%"
"            Three or more times","509","2.3%"
"MEDIAN DURATION OF CURRENT MARRIAGE","",""
"    Males 15 years and over in households","20.3","(X)"
"        Married, spouse present","21.1","(X)"
"        Married, spouse absent","14.5","(X)"
"        Separated","22.1","(X)"
"    Females 15 years and over in households","20.3","(X)"
"        Married, spouse present","21.1","(X)"
"        Married, spouse absent","11.4","(X)"
"        Separated","20.3","(X)"
"GRANDPARENTS AS CAREGIVERS","",""
"    Grandparents in households living with one or more own grandchildren under 18 years","2,650","100.0%"
"        Grandparent responsible for grandchild","924","34.9%"
"            Less than 6 months","71","2.7%"
"            6 to 11 months","73","2.8%"
"            1 or 2 years","179","6.8%"
"            3 or 4 years","156","5.9%"
"            5 years or more","445","16.8%"
"VETERAN STATUS","",""
"    Civilian population 18 years and over in households","67,590","100.0%"
"        Civilian veterans","3,302","4.9%"
"            Has no service-connected disability rating","2,783","4.1%"
"            Has a service-connected disability rating","519","0.8%"
"DISABILITY STATUS FOR THE CIVILIAN POPULATION IN HOUSEHOLDS","",""
"    Total civilian population in households","84,630","100.0%"
"        With a disability","10,522","12.4%"
"    Civilian population under 18 years in households","17,040","100.0%"
"        With a disability","382","2.2%"
"    Civilian population 18 to 64 years in households","49,193","100.0%"
"        With a disability","4,295","8.7%"
"            Percent employed","(X)","42.7%"
"        No disability","44,898","91.3%"
"            Percent employed","(X)","67.3%"
"    Civilian population 65 years and over in households","18,397","100.0%"
"        With a disability","5,845","31.8%"
"RESIDENCE IN 2015","",""
"    Population 5 years and over in households","80,430","100.0%"
"        Same house","53,876","67.0%"
"        Different house in the U.S. Virgin Islands","20,298","25.2%"
"        Outside the U.S. Virgin Islands","6,256","7.8%"
"            Latin America and the Caribbean","1,961","2.4%"
"                Dominica","213","0.3%"
"                Dominican Republic","611","0.8%"
"                Puerto Rico","161","0.2%"
"                St. Kitts and Nevis","81","0.1%"
"                St. Lucia","90","0.1%"
"            United States","3,721","4.6%"
"            Elsewhere","574","0.7%"
"PRIMARY REASON FOR MOVING","",""
"    Population 5 years and over in households who have moved since April 1, 2015","26,554","100.0%"
"        Employment","2,642","9.9%"
"        Military","290","1.1%"
"        Housing","72","0.3%"
"        Family-related","3,470","13.1%"
"        Natural disaster","10,981","41.4%"
"        To attend school","4,895","18.4%"
"        Other","4,204","15.8%"
"PLACE OF BIRTH AND YEAR OF ENTRY","",""
"    Population in households","84,891","100.0%"
"        Born in the U.S. Virgin Islands","39,916","47.0%"
"        Born in the United States","13,152","15.5%"
"        Born in other U.S. Island Area or Puerto Rico","2,244","2.6%"
"        Born elsewhere","29,579","34.8%"
"            Entered 2010 to March 2020","6,906","8.1%"
"            Entered before 2010","22,673","26.7%"
"            One or both parents born in the U.S. Virgin Islands, other U.S. Island Area, Puerto Rico, or the United States","1,257","100.0%"
"                Entered 2010 to March 2020","445","35.4%"
"                Entered before 2010","812","64.6%"
"            Neither parent born in the U.S. Virgin Islands, other U.S. Island Area, Puerto Rico, or the United States","28,322","100.0%"
"                Entered 2010 to March 2020","6,461","22.8%"
"                Entered before 2010","21,861","77.2%"
"        Born in other U.S. Island Area, Puerto Rico, or the United States","15,396","100.0%"
"            Entered 2010 to March 2020","6,746","43.8%"
"            Entered before 2010","8,650","56.2%"
"PLACE OF BIRTH FOR THE POPULATION IN HOUSEHOLDS BORN OUTSIDE THE U.S. ISLAND AREAS, PUERTO RICO, AND THE UNITED STATES","",""
"    Population in households born outside the U.S. Virgin Islands, other U.S. Island Areas, Puerto Rico, and the United States [1]","29,579","100.0%"
"        Born in Asia","1,005","3.4%"
"        Born in Europe","719","2.4%"
"        Born in Latin America and the Caribbean","27,439","92.8%"
"            Caribbean","26,836","90.7%"
"                Anguilla","700","2.4%"
"                Antigua and Barbuda","2,850","9.6%"
"                British Virgin Islands","1,436","4.9%"
"                Dominica","4,329","14.6%"
"                Dominican Republic","4,104","13.9%"
"                Haiti","2,397","8.1%"
"                Jamaica","407","1.4%"
"                St. Kitts and Nevis","4,575","15.5%"
"                St. Lucia","2,881","9.7%"
"                Trinidad and Tobago","1,245","4.2%"
"                Other Caribbean","1,912","6.5%"
"            Central America and South America","603","2.0%"
