"year","month","st_thomas_st_john","st_croix","usvi_total","arrival_type"
1994,"February",51434,13354,64787,"air"
1994,"February",132069,5814,135298,"cruise"
1994,"March",59217,14490,73706,"air"
1994,"March",149953,6059,150691,"cruise"
1994,"April",50126,13022,63148,"air"
1994,"April",126832,3700,128315,"cruise"
1994,"May",41864,11473,53337,"air"
1994,"May",76107,1611,76369,"cruise"
1994,"June",38078,9520,47598,"air"
1994,"June",69010,260,69270,"cruise"
1994,"July",42607,13555,56162,"air"
1994,"July",73746,178,73924,"cruise"
1994,"August",40000,13325,53326,"air"
1994,"August",75100,137,75237,"cruise"
1994,"September",28685,5384,34069,"air"
1994,"September",51500,0,31716,"cruise"
1994,"October",35770,9248,45018,"air"
1994,"October",85021,5667,85733,"cruise"
1994,"November",46527,10686,57213,"air"
1994,"November",113404,8705,116810,"cruise"
1994,"December",536755,140261,677014,"air"
1994,"December",1226599,53523,1242886,"cruise"
1995,"February",53667,11514,65180,"air"
1995,"February",126662,13721,127833,"cruise"
1995,"March",58946,12543,71488,"air"
1995,"March",146340,15315,148312,"cruise"
1995,"April",57985,11799,69784,"air"
1995,"April",120879,13516,121142,"cruise"
1995,"May",39806,10330,50136,"air"
1995,"May",74214,8028,77149,"cruise"
1995,"June",40045,9162,49207,"air"
1995,"June",73073,4983,73073,"cruise"
1995,"July",43181,11338,54519,"air"
1995,"July",83067,5159,83067,"cruise"
1995,"August",39267,12389,51657,"air"
1995,"August",69771,5110,65739,"cruise"
1995,"September",6173,6905,13078,"air"
1995,"September",23041,11171,-38.4,"cruise"
1995,"October",4380,8486,12866,"air"
1995,"October",1158,55122,56280,"cruise"
1995,"November",15895,10785,26680,"air"
1995,"November",73081,52671,108500,"cruise"
1995,"December",431121,130943,562062,"air"
1995,"December",1066515,229822,1171286,"cruise"
1996,"February",27278,13264,40542,"air"
1996,"February",142314,20432,141602,"cruise"
1996,"March",31291,13810,45101,"air"
1996,"March",154856,17545,154914,"cruise"
1996,"April",31278,14385,45663,"air"
1996,"April",138673,15329,138648,"cruise"
1996,"May",25356,12370,37726,"air"
1996,"May",67665,7060,67650,"cruise"
1996,"June",24557,11700,36256,"air"
1996,"June",73017,5165,73017,"cruise"
1996,"July",24874,13755,38629,"air"
1996,"July",67104,3455,67104,"cruise"
1996,"August",24583,14098,38681,"air"
1996,"August",75813,7688,78348,"cruise"
1996,"September",13350,6948,20297,"air"
1996,"September",49917,2135,49917,"cruise"
1996,"October",19373,9675,29048,"air"
1996,"October",88618,9876,89203,"cruise"
1996,"November",28265,11738,40003,"air"
1996,"November",135893,15137,135893,"cruise"
1996,"December",34375,16537,50912,"air"
1996,"December",1308197,149573,1316425,"cruise"
1997,"February",34207,12251,46458,"air"
1997,"February",164477,30088,175471,"cruise"
1997,"March",42099,15698,57796,"air"
1997,"March",183241,22221,190486,"cruise"
1997,"April",34525,11891,46416,"air"
1997,"April",147001,23846,158833,"cruise"
1997,"May",29703,10723,40426,"air"
1997,"May",89149,10581,91074,"cruise"
1997,"June",27288,10767,38055,"air"
1997,"June",84721,6302,84919,"cruise"
1997,"July",27898,11426,39324,"air"
1997,"July",90306,6662,90307,"cruise"
1997,"August",28286,12225,40511,"air"
1997,"August",76654,6691,76658,"cruise"
1997,"September",16269,7411,23680,"air"
1997,"September",72548,9825,69683,"cruise"
1997,"October",21020,8130,29150,"air"
1997,"October",121528,8121,126907,"cruise"
1997,"November",32260,11230,43490,"air"
1997,"November",161743,15149,170546,"cruise"
1997,"December",36251,15166,51417,"air"
1997,"December",1560247,177963,1618956,"cruise"
1998,"February",37073,12126,49199,"air"
1998,"February",156456,15252,164291,"cruise"
1998,"March",40142,13607,53748,"air"
1998,"March",184779,15797,191558,"cruise"
1998,"April",42041,12821,54862,"air"
1998,"April",151544,16464,161144,"cruise"
1998,"May",31496,10193,41689,"air"
1998,"May",87253,11059,92344,"cruise"
1998,"June",29365,9678,39043,"air"
1998,"June",79352,6820,79354,"cruise"
1998,"July",28827,10664,39491,"air"
1998,"July",76012,9008,76029,"cruise"
1998,"August",28413,11286,39699,"air"
1998,"August",76101,3358,76099,"cruise"
1998,"September",13927,6471,20399,"air"
1998,"September",65687,8576,68478,"cruise"
1998,"October",24327,9556,33883,"air"
1998,"October",127055,20996,136524,"cruise"
1998,"November",31978,10360,42338,"air"
1998,"November",167154,13955,174837,"cruise"
1998,"December",388241,135165,523406,"air"
1998,"December",1547081,154262,1615518,"cruise"
1999,"February",40326,11910,52236,"air"
1999,"February",158934,18697,167965,"cruise"
1999,"March",49145,13573,62718,"air"
1999,"March",178961,19785,184328,"cruise"
1999,"April",44990,12418,57409,"air"
1999,"April",142672,19577,147783,"cruise"
1999,"May",36695,10093,46788,"air"
1999,"May",65992,5665,65992,"cruise"
1999,"June",34766,9865,44631,"air"
1999,"June",61485,6426,61377,"cruise"
1999,"July",35529,12587,48116,"air"
1999,"July",62934,6710,62932,"cruise"
1999,"August",31413,12453,43867,"air"
1999,"August",61923,6721,61922,"cruise"
1999,"September",15846,6146,21992,"air"
1999,"September",56802,8335,59199,"cruise"
1999,"October",22018,7802,29820,"air"
1999,"October",72954,8196,72617,"cruise"
1999,"November",33923,9716,43638,"air"
1999,"November",148062,16238,150549,"cruise"
1999,"December",427932,132202,560134,"air"
1999,"December",1363277,164492,1402718,"cruise"
2000,"February",47121,11586,58707,"air"
2000,"February",184229,22938,184229,"cruise"
2000,"March",53017,14981,67997,"air"
2000,"March",207685,27669,207685,"cruise"
2000,"April",49096,13598,62694,"air"
2000,"April",179579,23952,188484,"cruise"
2000,"May",42423,14277,56701,"air"
2000,"May",94893,10934,94893,"cruise"
2000,"June",40286,11906,52192,"air"
2000,"June",75923,6821,75923,"cruise"
2000,"July",41199,13043,54242,"air"
2000,"July",78718,6871,78718,"cruise"
2000,"August",34629,14149,48778,"air"
2000,"August",70014,3461,70014,"cruise"
2000,"September",24919,5825,30744,"air"
2000,"September",76805,5989,76805,"cruise"
2000,"October",24777,9535,34312,"air"
2000,"October",125529,10827,128738,"cruise"
2000,"November",40013,11525,51538,"air"
2000,"November",214699,36387,232741,"cruise"
2000,"December",482441,147359,629799,"air"
2000,"December",1719827,232432,1768402,"cruise"
2001,"February",47091,12592,59683,"air"
2001,"February",47078,12851,59928,"air"
2001,"February",210264,33691,224101,"cruise"
2001,"February",210264,33691,224101,"cruise"
2001,"March",55634,14071,69705,"air"
2001,"March",55620,14329,69949,"air"
