"Series.Name","year","value"
"Population ages 15-64, female (% of female population)",1975,58.2047337278107
"Population ages 15-64, female (% of female population)",1976,58.2811843405377
"Population ages 15-64, female (% of female population)",1977,58.5166005702861
"Population ages 15-64, female (% of female population)",1978,59.0703652587996
"Population ages 15-64, female (% of female population)",1979,59.8961514966402
"Population ages 15-64, female (% of female population)",1980,60.9370651612134
"Population ages 15-64, female (% of female population)",1981,61.9552935396708
"Population ages 15-64, female (% of female population)",1982,62.7293645067566
"Population ages 15-64, female (% of female population)",1983,63.3082240855134
"Population ages 15-64, female (% of female population)",1984,63.7264618434093
"Population ages 15-64, female (% of female population)",1985,64.0429115547304
"Population ages 15-64, female (% of female population)",1986,64.3000714455823
"Population ages 15-64, female (% of female population)",1987,64.5488982350875
"Population ages 15-64, female (% of female population)",1988,64.8371960756434
"Population ages 15-64, female (% of female population)",1989,65.2544785182936
"Population ages 15-64, female (% of female population)",1990,65.6697082880242
"Population ages 15-64, female (% of female population)",1991,65.8952075362265
"Population ages 15-64, female (% of female population)",1992,65.996781592187
"Population ages 15-64, female (% of female population)",1993,66.0044857417494
"Population ages 15-64, female (% of female population)",1994,65.9418909480139
"Population ages 15-64, female (% of female population)",1995,65.8571479988483
"Population ages 15-64, female (% of female population)",1996,65.780537932267
"Population ages 15-64, female (% of female population)",1997,65.747667703243
"Population ages 15-64, female (% of female population)",1998,65.785283346013
"Population ages 15-64, female (% of female population)",1999,65.9180126853624
"Population ages 15-64, female (% of female population)",2000,66.0921413032948
"Population ages 15-64, female (% of female population)",2001,66.2718715051822
"Population ages 15-64, female (% of female population)",2002,66.4670658682635
"Population ages 15-64, female (% of female population)",2003,66.665487445719
"Population ages 15-64, female (% of female population)",2004,66.8164022620136
"Population ages 15-64, female (% of female population)",2005,66.9529921757475
"Population ages 15-64, female (% of female population)",2006,67.084046803653
"Population ages 15-64, female (% of female population)",2007,67.1118501036973
"Population ages 15-64, female (% of female population)",2008,67.0110853220299
"Population ages 15-64, female (% of female population)",2009,66.7447495961228
"Population ages 15-64, female (% of female population)",2010,66.3500617289513
"Population ages 15-64, female (% of female population)",2011,65.8681000845862
"Population ages 15-64, female (% of female population)",2012,65.3225287208308
"Population ages 15-64, female (% of female population)",2013,64.7346186771876
"Population ages 15-64, female (% of female population)",2014,64.0994502184064
"Population ages 15-64, female (% of female population)",2015,63.553982911884
"Population ages 15-64, female (% of female population)",2016,63.1540060487247
"Population ages 15-64, female (% of female population)",2017,62.8304031832393
"Population ages 15-64, female (% of female population)",2018,62.5651403466463
"Population ages 15-64, female (% of female population)",2019,62.3337423046438
"Population ages 15-64, female (% of female population)",2020,62.001835126082
"Population ages 15-64, female (% of female population)",2021,61.5405049420567
"Population ages 15-64, female (% of female population)",2022,61.0200951407105
"Population ages 15-64, female (% of female population)",2023,60.4485617862012
"Population ages 15-64, female (% of female population)",2024,59.8853610564765
"Population ages 0-14 (% of total population)",1975,38.516057183668
"Population ages 0-14 (% of total population)",1976,38.4977101018057
"Population ages 0-14 (% of total population)",1977,38.2912890572163
"Population ages 0-14 (% of total population)",1978,37.7312667139661
"Population ages 0-14 (% of total population)",1979,36.8225981521192
"Population ages 0-14 (% of total population)",1980,35.6486395526445
"Population ages 0-14 (% of total population)",1981,34.4790196198777
"Population ages 0-14 (% of total population)",1982,33.5518012195678
"Population ages 0-14 (% of total population)",1983,32.8359109466444
"Population ages 0-14 (% of total population)",1984,32.2675971267552
"Population ages 0-14 (% of total population)",1985,31.7574170250549
"Population ages 0-14 (% of total population)",1986,31.2786503436808
"Population ages 0-14 (% of total population)",1987,30.8025401319217
"Population ages 0-14 (% of total population)",1988,30.2721021707358
"Population ages 0-14 (% of total population)",1989,29.6160034534181
"Population ages 0-14 (% of total population)",1990,28.9597536837475
"Population ages 0-14 (% of total population)",1991,28.4868924005922
"Population ages 0-14 (% of total population)",1992,28.1544936960405
"Population ages 0-14 (% of total population)",1993,27.9237601776462
"Population ages 0-14 (% of total population)",1994,27.7709530600622
"Population ages 0-14 (% of total population)",1995,27.6434734647708
"Population ages 0-14 (% of total population)",1996,27.4852686952804
"Population ages 0-14 (% of total population)",1997,27.2622979636774
"Population ages 0-14 (% of total population)",1998,26.9553227204811
"Population ages 0-14 (% of total population)",1999,26.5376043028975
"Population ages 0-14 (% of total population)",2000,26.0429090473713
"Population ages 0-14 (% of total population)",2001,25.5105942842926
"Population ages 0-14 (% of total population)",2002,24.9484631171167
"Population ages 0-14 (% of total population)",2003,24.3685864842378
"Population ages 0-14 (% of total population)",2004,23.8031427789807
"Population ages 0-14 (% of total population)",2005,23.229544683639
"Population ages 0-14 (% of total population)",2006,22.6333178222429
"Population ages 0-14 (% of total population)",2007,22.0653927575563
"Population ages 0-14 (% of total population)",2008,21.5440351533284
"Population ages 0-14 (% of total population)",2009,21.1551250948398
"Population ages 0-14 (% of total population)",2010,20.7650196122697
"Population ages 0-14 (% of total population)",2011,20.4136046417846
"Population ages 0-14 (% of total population)",2012,20.2098793840726
"Population ages 0-14 (% of total population)",2013,20.0198725250224
"Population ages 0-14 (% of total population)",2014,19.8638228618768
"Population ages 0-14 (% of total population)",2015,19.5416344547246
"Population ages 0-14 (% of total population)",2016,18.9795167046744
"Population ages 0-14 (% of total population)",2017,18.3320629747418
"Population ages 0-14 (% of total population)",2018,17.6161817521925
"Population ages 0-14 (% of total population)",2019,16.8513804581946
"Population ages 0-14 (% of total population)",2020,16.4634320147309
"Population ages 0-14 (% of total population)",2021,16.4876236772411
"Population ages 0-14 (% of total population)",2022,16.5096466181927
"Population ages 0-14 (% of total population)",2023,16.5190604543704
"Population ages 0-14 (% of total population)",2024,16.4966727518992
"Population ages 05-09, female (% of female population)",1975,11.5313609467456
"Population ages 05-09, female (% of female population)",1976,12.463514633897
"Population ages 05-09, female (% of female population)",1977,12.8937104650782
"Population ages 05-09, female (% of female population)",1978,12.7550859153594
"Population ages 05-09, female (% of female population)",1979,12.1146406027286
"Population ages 05-09, female (% of female population)",1980,11.3256867968036
"Population ages 05-09, female (% of female population)",1981,10.7207074428887
"Population ages 05-09, female (% of female population)",1982,10.3357837879999
"Population ages 05-09, female (% of female population)",1983,10.0946922019326
"Population ages 05-09, female (% of female population)",1984,9.96180010969238
"Population ages 05-09, female (% of female population)",1985,9.90008995731812
"Population ages 05-09, female (% of female population)",1986,9.8775899023577
"Population ages 05-09, female (% of female population)",1987,9.83186336406186
"Population ages 05-09, female (% of female population)",1988,9.76254798805631
"Population ages 05-09, female (% of female population)",1989,9.67815393957796
"Population ages 05-09, female (% of female population)",1990,9.53713772398468
"Population ages 05-09, female (% of female population)",1991,9.3510575600812
"Population ages 05-09, female (% of female population)",1992,9.15951464930453
"Population ages 05-09, female (% of female population)",1993,8.94951251888131
"Population ages 05-09, female (% of female population)",1994,8.7136364873323
"Population ages 05-09, female (% of female population)",1995,8.63446587964296
"Population ages 05-09, female (% of female population)",1996,8.75078187829506
"Population ages 05-09, female (% of female population)",1997,8.8751665926255
"Population ages 05-09, female (% of female population)",1998,8.9550786433361
"Population ages 05-09, female (% of female population)",1999,8.95738318086786
"Population ages 05-09, female (% of female population)",2000,8.86184088847397
"Population ages 05-09, female (% of female population)",2001,8.62267856042127
"Population ages 05-09, female (% of female population)",2002,8.24830456906511
"Population ages 05-09, female (% of female population)",2003,7.79700890606621
"Population ages 05-09, female (% of female population)",2004,7.26276821462496
"Population ages 05-09, female (% of female population)",2005,6.84332802221767
"Population ages 05-09, female (% of female population)",2006,6.64865154109589
"Population ages 05-09, female (% of female population)",2007,6.52846313380534
"Population ages 05-09, female (% of female population)",2008,6.42177992454453
"Population ages 05-09, female (% of female population)",2009,6.34535989947945
"Population ages 05-09, female (% of female population)",2010,6.2612080851409
"Population ages 05-09, female (% of female population)",2011,6.18661718828163
"Population ages 05-09, female (% of female population)",2012,6.17187428140435
"Population ages 05-09, female (% of female population)",2013,6.18788848773588
"Population ages 05-09, female (% of female population)",2014,6.27918361198976
"Population ages 05-09, female (% of female population)",2015,6.35290507561156
"Population ages 05-09, female (% of female population)",2016,6.26249889172389
"Population ages 05-09, female (% of female population)",2017,6.01729668277234
"Population ages 05-09, female (% of female population)",2018,5.65475878411677
"Population ages 05-09, female (% of female population)",2019,5.21275556182886
"Population ages 05-09, female (% of female population)",2020,4.90951501818544
"Population ages 05-09, female (% of female population)",2021,4.81366287757203
"Population ages 05-09, female (% of female population)",2022,4.76703863424176
"Population ages 05-09, female (% of female population)",2023,4.75269874617259
"Population ages 05-09, female (% of female population)",2024,4.75526833380163
"Population ages 05-09, male (% of male population)",1975,11.9855801392433
"Population ages 05-09, male (% of male population)",1976,13.1712174288594
"Population ages 05-09, male (% of male population)",1977,13.7603464533929
"Population ages 05-09, male (% of male population)",1978,13.7298864241148
"Population ages 05-09, male (% of male population)",1979,13.1204148050086
"Population ages 05-09, male (% of male population)",1980,12.2715432919382
"Population ages 05-09, male (% of male population)",1981,11.6565856988938
"Population ages 05-09, male (% of male population)",1982,11.3084240421466
"Population ages 05-09, male (% of male population)",1983,11.0500993619914
"Population ages 05-09, male (% of male population)",1984,10.8999626571512
"Population ages 05-09, male (% of male population)",1985,10.8575430213279
